SCENE,KEY,SENTENCE,END_TIME,SPEAKER,SHOW,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
1_2837,1_2837_u,"- Chocolate? - No, I don't want any chocolate!",0:04,LEONARD,BBT,0.0,NONE,Frustration,Frustration,3.0,8.0
1_2842,1_2842_u,"Oh, you know, Goth stuff. Goth magazines, Goth music.",0:05,HOWARD,BBT,0.0,NONE,Excitement,Excitement,6.0,7.0
1_3125,1_3125_u,"But if she dumps you, she'll have a new boyfriend by tomorrow morning and you'll have a new girlfriend when you figure out how to build one.",0:07,HOWARD,BBT,1.0,EMB,Disgust,Neutral,3.0,8.0
1_3177,1_3177_u,"Not a great movie, but look at that beautiful desert.",0:05,RAJ,BBT,0.0,NONE,Happiness,Happiness,4.0,6.0
1_3204,1_3204_u,Right. That was so good! Sweety and meaty at the same time.,0:08,RAJ,BBT,0.0,NONE,Sadness,Sadness,6.0,7.0
1_3256,1_3256_u,"I'm sorry, fiddling with yourself in the bathtub is a real class act.",0:05,PERSON,BBT,1.0,PRO,Disgust,Happiness,3.0,8.0
1_3259,1_3259_u,"No, I mean Princess Leia. Of course I mean Bernadette. She's a wonderful girl and she really likes you.",0:09,PERSON,BBT,1.0,PRO,Disgust,Neutral,4.0,8.0
1_3333,1_3333_u,"Okay, I got a bone to pick with you.",0:04,HOWARD,BBT,0.0,NONE,Anger,Anger,4.0,6.0
1_3371,1_3371_u,"I was going to ask Leonard to do it, but he seemed a bit emotionally unstable and you don't want someone like that operating heavy machinery.",0:09,PERSON,BBT,0.0,NONE,Disgust,Disgust,4.0,6.0
1_340,1_340_u,"Sure, cut the foreigner in half. There's a billion more where he came from.",0:06,RAJ,BBT,1.0,PRO,Frustration,Neutral,3.0,7.0
1_3419,1_3419_u,"Oh, we don't need to talk about that anymore. Leonard covered it pretty well in the car.",0:05,PENNY,BBT,1.0,PRO,Disgust,Neutral,4.0,6.0
1_3476,1_3476_u,Don't you think looking for a new city to live in is a bit of an overreaction?,0:05,LEONARD,BBT,0.0,NONE,Surprise,Surprise,6.0,7.0
1_3545,1_3545_u,"I understand your point, but given a choice, Jews always go with Chinese food.",0:07,HOWARD,BBT,1.0,PRO,Disgust,Neutral,4.0,6.0
1_3573,1_3573_u,"Well, I always figured it was to study us, discover our weaknesses, and report back to your alien overlords.",0:07,PENNY,BBT,1.0,EMB,Disgust,Excitement,3.0,7.0
1_3599,1_3599_u,Why don't you keep that stuff in the bathroom?,0:05,HOWARD,BBT,0.0,NONE,Surprise,Surprise,4.0,6.0
1_3649,1_3649_u,"Oh, no, no, I said I'm inviting you to come with me to Stan Lee's house.",0:04,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_3660,1_3660_u,There a new girlfriend in there? 'Cause you might need one.,0:03,PENNY,BBT,1.0,PRO,Frustration,Neutral,2.0,8.0
1_3707,1_3707_u,"Oh, I'm so glad you asked it like that. You.",0:03,LEONARD,BBT,1.0,PRO,Disgust,Happiness,4.0,7.0
1_3766,1_3766_u,Can we please talk about something else? Maybe something vaguely related to life as we know it on this planet?,0:06,LEONARD,BBT,1.0,PRO,Frustration,Neutral,4.0,5.0
1_3842,1_3842_u,"So what, you're just gonna walk up and down the stairs?",0:05,HOWARD,BBT,0.0,NONE,Surprise,Surprise,4.0,6.0
1_3911,1_3911_u,"That's very thoughtful, but I think I'll finish my coffee first.",0:04,PERSON,BBT,0.0,NONE,Happiness,Happiness,4.0,5.0
1_410,1_410_u,"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",0:05,RAJ,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
1_4145,1_4145_u,A lot of people are working on that research. So what is all this?,0:06,LEONARD,BBT,1.0,PRO,Frustration,Neutral,4.0,6.0
1_4281,1_4281_u,It was the kind of thing that makes it kind of hard to face her now.,0:05,HOWARD,BBT,0.0,NONE,Sadness,Sadness,4.0,5.0
1_4290,1_4290_u,I just have a question. Does Bernadette ever talk about me?,0:05,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_430,1_430_u,"I've got some feelers out. In the meantime, listen to this.",0:05,RAJ,BBT,0.0,NONE,Excitement,Excitement,7.0,7.0
1_4477,1_4477_u,I just want to ask you a few questions about Howard Wolowitz.,0:06,PERSON,BBT,0.0,NONE,Frustration,Frustration,4.0,5.0
1_4544,1_4544_u,"Yes. In fact, our menses are synchronized. Penny. Bernadette tells me you're planning a girls' night.",0:13,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_4552,1_4552_u,"...so anyway, to make a long story short, turns out I have an unusually firm cervix.",0:06,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_4576,1_4576_u,"Bernadette dared me to tell a dirty story. ""The Miller's Tale"" by Chaucer is the dirtiest story I know. It would have been hidden in sock drawers if people in the 14th century had worn socks.",0:14,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_4603,1_4603_u,Is it possible that she was going for your cheek and you moved and she accidentally got lip? That happens with me and my mom all the time.,0:09,HOWARD,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_4639,1_4639_u,"Well, I'm just glad you finally found yourself a keeper.",0:04,PERSON,BBT,0.0,NONE,Happiness,Happiness,6.0,7.0
1_4743,1_4743_u,"Oh, and the science dudes want to talk science with you. What do you want to talk about-- rocks, dinosaurs, our friend the beaver?",0:12,HOWARD,BBT,1.0,PRO,Disgust,Happiness,3.0,7.0
1_4789,1_4789_u,"I don't know. Somebody bigger and... Yeah, sure. Why not you?",0:06,PERSON,BBT,1.0,PRO,Ridicule,Surprise,2.0,6.0
1_4949,1_4949_u,"Certainly. I'd like to raise two points. Number one, I think they <i>are</i> talking about penises. And number two, these mimosas are kicking my little brown ass.",0:14,RAJ,BBT,0.0,NONE,Happiness,Happiness,6.0,7.0
1_4967,1_4967_u,We might be starting to zero in on your problem.,0:05,LEONARD,BBT,1.0,PRO,Disgust,Neutral,3.0,6.0
1_5109,1_5109_u,"Yeah, but you were just sleeping, because I forboded you to have sex.",0:05,RAJ,BBT,0.0,NONE,Anger,Anger,4.0,6.0
1_5134,1_5134_u,"Oh, yeah, yeah. It's real great. Today I drove to Van Nuys for an audition I thought was going to be for a cat food commercial. Turned out to be porn.",0:08,PENNY,BBT,1.0,PRO,Disgust,Happiness,3.0,6.0
1_5156,1_5156_u,"That's got to be fun for you, huh? Watching Hofstadter suck the saliva out of your sister's mouth?",0:09,HOWARD,BBT,1.0,EMB,Disgust,Happiness,3.0,7.0
1_5166,1_5166_u,"Yeah, it's a great time to be alive, isn't it?",0:04,PENNY,BBT,1.0,PRO,Disgust,Happiness,2.0,7.0
1_5169,1_5169_u,I'm not saying that you're not fun. You're the most fun person I know.,0:05,AMY,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
1_5211,1_5211_u,"Saying that while holding a snowflake is a bit heavy-handed, don't you think?",0:05,AMY,BBT,1.0,PRO,Disgust,Neutral,3.0,6.0
1_5212,1_5212_u,"I'm sorry, Sheldon bought a loom and learned how to weave?",0:05,PERSON3,BBT,0.0,NONE,Surprise,Surprise,6.0,6.0
1_533,1_533_u,"Technically, yes. But, if you'll notice... It's reversible!",0:07,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_537,1_537_u,"Oh, you know, that is so weird that yours came and mine didn't.",0:04,PENNY,BBT,1.0,PRO,Ridicule,Sadness,4.0,7.0
1_5496,1_5496_u,"Okay, Amy, you're being silly. I'm not concerned about who hangs out with who. And I certainly don't have a problem with Leonard's new girlfriend who wears way too much makeup. Ooh, these are cute. Of course if I buy them, I'll have to rent my womb out to a gay couple.",0:18,PENNY,BBT,1.0,EMB,Anger,Neutral,3.0,8.0
1_5580,1_5580_u,"Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.",0:06,HOWARD,BBT,1.0,PRO,Anger,Happiness,3.0,8.0
1_5617,1_5617_u,Thanks for clearing that up,0:04,PENNY,BBT,1.0,PRO,Disgust,Happiness,3.0,8.0
1_5627,1_5627_u,"Your girlfriend and your ex-girlfriend are hanging out together? Oh, yeah, that can only be good for you.",0:04,RAJ,BBT,1.0,PRO,Disgust,Happiness,3.0,7.0
1_5758,1_5758_u,"Oh, I could so see you being the face of hemorrhoids.",0:05,AMY,BBT,1.0,PRO,Disgust,Neutral,3.0,7.0
1_5880,1_5880_u,"When you're done copping a feel, that goes on my wrist.",0:04,AMY,BBT,1.0,PRO,Disgust,Excitement,4.0,7.0
1_5953,1_5953_u,Here's some other fun news on the Raj/Emily front. He gave her a pair of diamond earrings and leased her a car.,0:07,HOWARD,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
1_5964,1_5964_u,Smart. Whisper so the deaf chick can't hear you.,0:04,HOWARD,BBT,1.0,PRO,Disgust,Happiness,4.0,7.0
1_6092,1_6092_u,"We don't say that, either. I'll make you a list. Oh, that would be mighty white of you.",0:09,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_6113,1_6113_u,"So, this spring, I get to go to the International Space Station. Oh, my word, a trip to the heavens.",0:09,HOWARD,BBT,0.0,NONE,Surprise,Surprise,7.0,7.0
1_6183,1_6183_u,You have a thing of paper clips right there.,0:04,RAJ,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_6188,1_6188_u,"Oh, my God, that's where I know you from.",0:04,PENNY,BBT,1.0,PRO,Disgust,Surprise,4.0,6.0
1_6355,1_6355_u,"said horrible things about each other in public... all in all, a pretty magical night.",0:11,LEONARD,BBT,1.0,EMB,Sadness,Neutral,2.0,7.0
1_6427,1_6427_u,Hmm. That's too bad. We could have spent New Year's Eve waiting for the ball to drop.,0:06,PENNY,BBT,1.0,EMB,Disgust,Sadness,3.0,8.0
1_6428,1_6428_u,Sure. You want to see what all the scientists are wearing this year.,0:06,LEONARD,BBT,1.0,PRO,Ridicule,Neutral,4.0,6.0
1_6627,1_6627_u,"Well, yeah, sex with you is pretty great. Have you ever tried it?",0:07,LEONARD,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
1_6648,1_6648_u,You mean for a person whose neck massages feel like an eagle is trying to carry you to its nest?,0:06,LEONARD,BBT,1.0,PRO,Sadness,Neutral,3.0,6.0
1_6683,1_6683_u,"Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""",0:06,HOWARD,BBT,1.0,EMB,Disgust,Happiness,3.0,8.0
1_6769,1_6769_u,"Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.",0:07,AMY,BBT,1.0,PRO,Disgust,Neutral,3.0,7.0
1_6835,1_6835_u,"Oh, screw her. She's just lucky we let her hang out with us.",0:04,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_70,1_70_u,I don't think I'll be able to stop thinking about it.,0:04,PENNY,BBT,1.0,ILL,Disgust,Happiness,4.0,6.0
1_7047,1_7047_u,"Also instead of just living in your mother's house, you could actually live inside her body.",0:06,LEONARD,BBT,1.0,EMB,Disgust,Neutral,3.0,7.0
1_7082,1_7082_u,"...to all the good times we had, like, uh, when we went camping and spent that night telling each other all our secrets. I told him I'm addicted to pedicures and he told me he lost his virginity to his cousin.",0:13,RAJ,BBT,0.0,NONE,Happiness,Happiness,7.0,7.0
1_7186,1_7186_u,"Not exactly. Listen, if you don't mind, I'm not really up for chatting. I'm just going to sit here quietly and let my life flash before my eyes.",0:11,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_7357,1_7357_u,I'm starting to get a sense of it.,0:05,LEONARD,BBT,1.0,PRO,Frustration,Neutral,4.0,7.0
1_7395,1_7395_u,"Well, if that's all it takes, it's a good thing you don't have a dog.",0:04,AMY,BBT,1.0,PRO,Disgust,Neutral,3.0,8.0
1_7400,1_7400_u,"Of course, it is... it's been in the news. And it's a very famous boson.",0:07,PENNY,BBT,0.0,NONE,Excitement,Excitement,7.0,7.0
1_7402,1_7402_u,I didn't know they gave Nobel prizes for making boom-boom in the potty.,0:05,LEONARD,BBT,1.0,EMB,Disgust,Neutral,4.0,7.0
1_7443,1_7443_u,We've kind of been involved in a five-year experiment.,0:05,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_7445,1_7445_u,My limbic system wants to take your pants off.,0:04,PENNY,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
1_7449,1_7449_u,"Okay, the NASA Web site says Howard's final descent has begun.",0:06,RAJ,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_7487,1_7487_u,"Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist.",0:09,HOWARD,BBT,0.0,NONE,Sadness,Sadness,4.0,5.0
1_7490,1_7490_u,"It's okay, you know, we space cowboys don't do what we do for glory and fame. We leave that to your rock stars and your athletes and your Howie Mandels.",0:14,HOWARD,BBT,0.0,NONE,Frustration,Frustration,3.0,6.0
1_7494,1_7494_u,that sounds a little funny to an American ear.,0:05,PERSON,BBT,0.0,NONE,Disgust,Disgust,4.0,6.0
1_7504,1_7504_u,"""To Stuart, your comic book store is out of this world. Just like the guy in this picture was.""",0:07,PERSON,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_7575,1_7575_u,"You're right, the party's fantastic. Please, tell me more. I haven't heard enough about it all week because hearing about that never gets old!",0:07,HOWARD,BBT,1.0,PRO,Anger,Excitement,2.0,9.0
1_7641,1_7641_u,"She was just so sad all the time. Yeah, I was the only person who could cheer her up. Well, me and Ben and Jerry.",0:1,HOWARD,BBT,0.0,NONE,Sadness,Sadness,4.0,4.0
1_7675,1_7675_u,"Anyway, to this day, I still can't see a box of crayons without crossing my legs.",0:06,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_7894,1_7894_u,I did. The guy at the liquor store said this stuff tastes great in coffee.,0:07,RAJ,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
1_7938,1_7938_u,"Come on, let's just start walking. There's got to be a gas station or something nearby.",0:06,LEONARD,BBT,0.0,NONE,Frustration,Frustration,4.0,6.0
1_7953,1_7953_u,Why don't you ask Scotty to beam you up?,0:04,PERSON,BBT,1.0,PRO,Disgust,Neutral,4.0,5.0
1_8042,1_8042_u,"No, just me, her and a couple of the big wigs. It's part of a bonus she got.",0:05,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_8045,1_8045_u,"Dumped her? What, did he use a forklift?",0:03,RAJ,BBT,1.0,PRO,Disgust,Neutral,3.0,7.0
1_8052,1_8052_u,Like Burt and Ernie. You guys even teach me stuff about words and numbers.,0:08,PENNY,BBT,1.0,ILL,Ridicule,Excitement,4.0,7.0
1_8078,1_8078_u,"Trust me, you're not Jewish. That's how they get you.",0:03,HOWARD,BBT,0.0,NONE,Frustration,Frustration,3.0,7.0
1_8136,1_8136_u,"Yeah, I'm really looking forward to it. In fact, there's no place I would rather be than here.",0:06,PERSON,BBT,1.0,PRO,Sadness,Happiness,3.0,7.0
1_8159,1_8159_u,And I'm cool with surprises. But nothing on a Jumbotron. I don't want to cry on a big screen like that.,0:08,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_8217,1_8217_u,"Go out with me on one date, and I promise you, you'll see.",0:06,RAJ,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
1_8417,1_8417_u,"Oh, I think we were looking at creepy in the rearview mirror when I put up that camera.",0:06,HOWARD,BBT,0.0,NONE,Sadness,Sadness,4.0,4.0
1_8452,1_8452_u,I think I'm gonna go. Thank you for the burrito and the pork rinds and the 20-minute lecture on why monster trucks are better than regular trucks.,0:11,PERSON,BBT,1.0,PRO,Frustration,Neutral,3.0,7.0
1_8505,1_8505_u,"A lane frequented by liars. Like you, you big liar!",0:04,RAJ,BBT,0.0,NONE,Anger,Anger,3.0,7.0
